"Name","Category","Accounting Code","Item Count","On Inventory","Tax Exempt","Report By Unit","Latest Price"
"Alma Finca Orange Liqueur","Liquor","","1","Yes","No","Bottle (Liter)","$31.71"
"Angostura Bitters","Liquor","","1","Yes","No","Bottle","$24.75"
"Angostura Orange Bitters","Liquor","","1","Yes","No","Bottle (6.7 Fluid Ounces)","$16.00"
"Argonaut Saloon Strength Brandy","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$21.00"
"Badel Pelinkovac Gorki Liqueur","Liquor","","1","Yes","No","Bottle (Liter)","$22.00"
"Banhez Joven Espadin & Barril Mezcal","Liquor","","1","Yes","No","Bottle (Liter)","$28.00"
"Barr Hill Gin","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$16.99"
"Bitter Truth Golden Falernum","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$28.80"
"Bloom Gin","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$36.80"
"Bombay Sapphire Gin","Liquor","","1","Yes","No","Bottle (Liter)","$30.17"
"Bombay Sapphire Premier Cru Murcian Lemon Gin","Liquor","","1","Yes","No","Bottle (700 Milliliters)","$27.99"
"Bordiga Bitter Rosso Apertivo","Liquor","","1","Yes","No","Bottle (Liter)","$26.00"
"Bottle Deposit - Liquor (.05)","Liquor","","2","Yes","No","Each","$0.05"
"Bottle Deposit - Liquor (.10)","Liquor","","7","Yes","No","Each","$0.10"
"Cap Corse Mattei Blanc Quinquina 17%","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$18.00"
"Cascahuin Tahona Blanco Tequila","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$68.99"
"Cazcanes No.7 Reposado Tequila","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$84.17"
"Combier Liqueur Absinthe Blanchette","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$58.80"
"Combier Liqueur De Violette","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$26.30"
"Combier Mure Liqueur","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$24.50"
"Cynar","Liquor","","1","Yes","No","Bottle (Liter)","$27.74"
"Dalmore Cigar Single Malt Scotch","Liquor","","2","Yes","No","Bottle (750 Milliliters)","$134.79"
"Di Saronno Amaretto","Liquor","","1","Yes","No","Bottle (Liter)","$19.99"
"Don Fulano Blanco Tequila","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$42.80"
"Don Fulano Fuerte Blanco Tequila","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$46.80"
"Don Fulano Reposado Tequila","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$49.47"
"Efe Black Raki","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$35.00"
"El Dorado 3yr White Rum","Liquor","","1","Yes","No","Bottle (Liter)","$1.42"
"El Tesoro de Don Felipe Platinum Blanco Tequila","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$32.47"
"El Tesoro Reposado Tequila","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$59.70"
"Engine Organic Gin","Liquor","","1","Yes","No","Bottle (Liter)","$27.99"
"Fords Gin","Liquor","","1","Yes","No","Bottle (Liter)","$19.09"
